"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 25 18:29:12 IST 2021","Mon Oct 25 18:29:23 IST 2021","11847","","Career Main Page","","Career Main Page","Verifying Top Colleges for Project Managers Title","Verifying Top Colleges for Project Managers Title",""
"passed","Mon Oct 25 18:27:35 IST 2021","Mon Oct 25 18:27:53 IST 2021","17984","","Career Main Page","","Career Main Page","Getting Gender wise percentage for Project Manager","Getting Gender wise percentage for Project Manager",""
"passed","Mon Oct 25 18:27:07 IST 2021","Mon Oct 25 18:27:26 IST 2021","19360","","Salary Page","","Salary Page","Moving to Average Project Manager Salary Component","Moving to Average Project Manager Salary Component",""
"passed","Mon Oct 25 18:27:07 IST 2021","Mon Oct 25 18:27:22 IST 2021","15778","","Career Main Page","","Career Main Page","Moving to Project Manager Demographics component","Moving to Project Manager Demographics component",""
"passed","Mon Oct 25 18:28:22 IST 2021","Mon Oct 25 18:28:38 IST 2021","16756","","Salary Page","","Salary Page","Verifying Education filter for Average Project Manager Salary component","Verifying Education filter for Average Project Manager Salary component",""
"passed","Mon Oct 25 18:29:35 IST 2021","Mon Oct 25 18:29:48 IST 2021","13895","","Career Main Page","","Career Main Page","Verifying Top Colleges Details","Verifying Top Colleges Details",""
"passed","Mon Oct 25 18:27:22 IST 2021","Mon Oct 25 18:27:35 IST 2021","12733","","Career Main Page","","Career Main Page","Verifying Project Manager Demographics component Title","Verifying Project Manager Demographics component Title",""
"passed","Mon Oct 25 18:26:46 IST 2021","Mon Oct 25 18:27:07 IST 2021","20506","","Salary Page","","Salary Page","Getting Salary Page Title","Getting Salary Page Title",""
"passed","Mon Oct 25 18:28:06 IST 2021","Mon Oct 25 18:28:30 IST 2021","23618","","Career Main Page","","Career Main Page","Comparing Jobs with Project Manager through Compare Jobs filter","Comparing Jobs with Project Manager through Compare Jobs filter",""
"passed","Mon Oct 25 18:27:44 IST 2021","Mon Oct 25 18:28:03 IST 2021","18863","","Salary Page","","Salary Page","Verifying Location filter for Average Project Manager Salary component","Verifying Location filter for Average Project Manager Salary component",""
"passed","Mon Oct 25 18:28:30 IST 2021","Mon Oct 25 18:29:01 IST 2021","30869","","Career Main Page","","Career Main Page","Clearing Project Manager Compare Jobs filter","Clearing Project Manager Compare Jobs filter",""
"passed","Mon Oct 25 18:29:23 IST 2021","Mon Oct 25 18:29:35 IST 2021","11029","","Career Main Page","","Career Main Page","Verifying Top Colleges List for Project Managers","Verifying Top Colleges List for Project Managers",""
"passed","Mon Oct 25 18:28:03 IST 2021","Mon Oct 25 18:28:22 IST 2021","18664","","Salary Page","","Salary Page","Verifying Industry filter for Average Project Manager Salary component","Verifying Industry filter for Average Project Manager Salary component",""
"passed","Mon Oct 25 18:27:26 IST 2021","Mon Oct 25 18:27:44 IST 2021","18033","","Salary Page","","Salary Page","Verifying Average Project Manager Salary component displayed fields","Verifying Average Project Manager Salary component displayed fields",""
"passed","Mon Oct 25 18:26:47 IST 2021","Mon Oct 25 18:27:07 IST 2021","19999","","Career Main Page","","Career Main Page","Getting Career Main page Title","Getting Career Main page Title",""
"passed","Mon Oct 25 18:29:01 IST 2021","Mon Oct 25 18:29:12 IST 2021","11053","","Career Main Page","","Career Main Page","Moving to Top Colleges for Project Managers component","Moving to Top Colleges for Project Managers component",""
"passed","Mon Oct 25 18:27:53 IST 2021","Mon Oct 25 18:28:06 IST 2021","13082","","Career Main Page","","Career Main Page","Verifying Project Manager Compare Jobs filter","Verifying Project Manager Compare Jobs filter",""
